用户标识,业务类型,主叫时长（分）,被叫时长（分）,免费流量,计费流量,月均上网时长（分）,入网时长（天）,最近一次缴费金额（元）,总缴费金额(元),缴费次数,余额,是否潜在合约用户
60301,3G,76.0,120.0,402.0,79.0,70.0,149.0,36.0,448.0,10.0,27.0,1
61262,4G,91.0,110.0,391.0,38.0,92.0,219.0,65.0,554.0,9.0,59.0,0
65101,2G,93.0,66.0,378.0,17.0,67.0,182.0,66.0,394.0,9.0,25.0,0
64127,4G,81.0,94.0,387.0,0.0,103.0,130.0,51.0,678.0,11.0,55.0,1
64839,3G,103.0,85.0,390.0,26.0,65.0,188.0,78.0,495.0,7.0,47.0,0
63188,3G,91.0,80.0,416.0,0.0,101.0,276.0,60.0,708.0,8.0,17.0,1
65236,4G,127.0,70.0,403.0,129.0,144.0,194.0,55.0,561.0,6.0,72.0,1
64841,4G,81.0,75.0,385.0,58.0,120.0,201.0,82.0,542.0,3.0,41.0,1
60889,3G,104.0,83.0,390.0,72.0,161.0,203.0,113.0,425.0,9.0,69.0,1
60753,3G,96.0,80.0,399.0,124.0,129.0,239.0,102.0,507.0,9.0,43.0,1
69043,3G,76.0,101.0,389.0,23.0,140.0,117.0,48.0,590.0,5.0,53.0,1
64247,2G,83.0,97.0,385.0,0.0,93.0,137.0,81.0,611.0,9.0,64.0,0
66162,2G,101.0,101.0,378.0,21.0,83.0,215.0,61.0,284.0,14.0,68.0,0
65309,4G,59.0,92.0,376.0,33.0,106.0,163.0,51.0,461.0,6.0,88.0,0
65347,2G,100.0,91.0,366.0,1.0,74.0,135.0,56.0,445.0,8.0,53.0,0
60175,2G,84.0,86.0,388.0,20.0,104.0,155.0,65.0,540.0,13.0,80.0,0
62886,4G,81.0,83.0,387.0,13.0,165.0,187.0,72.0,334.0,14.0,133.0,1
64986,2G,78.0,92.0,397.0,24.0,95.0,213.0,42.0,559.0,13.0,45.0,0
65013,3G,79.0,64.0,405.0,60.0,106.0,182.0,73.0,569.0,15.0,41.0,1
69605,3G,124.0,118.0,400.0,0.0,141.0,119.0,60.0,593.0,11.0,38.0,1
62789,3G,83.0,99.0,407.0,0.0,71.0,193.0,2.0,602.0,5.0,24.0,1
67882,4G,117.0,98.0,406.0,0.0,165.0,167.0,48.0,345.0,8.0,88.0,1
64022,3G,76.0,74.0,400.0,0.0,120.0,238.0,38.0,442.0,6.0,78.0,1
63439,4G,95.0,85.0,385.0,24.0,83.0,207.0,30.0,550.0,9.0,26.0,0
66779,4G,77.0,108.0,386.0,7.0,81.0,223.0,40.0,541.0,5.0,73.0,0
62230,2G,112.0,91.0,386.0,3.0,78.0,169.0,47.0,450.0,7.0,54.0,0
62022,3G,90.0,78.0,399.0,155.0,150.0,189.0,69.0,564.0,8.0,0.0,1
66299,2G,99.0,111.0,371.0,8.0,95.0,141.0,53.0,549.0,9.0,21.0,0
69683,3G,118.0,69.0,385.0,21.0,75.0,212.0,50.0,639.0,11.0,52.0,0
62778,3G,105.0,151.0,395.0,0.0,113.0,158.0,57.0,364.0,6.0,51.0,1
63272,3G,132.0,122.0,402.0,68.0,77.0,277.0,30.0,295.0,14.0,79.0,1
63356,4G,87.0,103.0,374.0,0.0,103.0,185.0,109.0,578.0,7.0,64.0,1
61517,3G,122.0,103.0,391.0,0.0,134.0,146.0,25.0,662.0,16.0,87.0,1
60384,2G,95.0,77.0,380.0,23.0,62.0,172.0,62.0,518.0,8.0,60.0,0
60139,4G,106.0,102.0,409.0,0.0,154.0,186.0,86.0,356.0,10.0,58.0,1
63163,4G,72.0,116.0,406.0,145.0,122.0,160.0,68.0,524.0,10.0,100.0,1
67579,3G,101.0,78.0,411.0,176.0,121.0,105.0,66.0,468.0,8.0,80.0,1
67276,3G,72.0,100.0,384.0,36.0,114.0,171.0,73.0,549.0,6.0,58.0,0
68327,4G,110.0,91.0,381.0,0.0,106.0,201.0,84.0,536.0,8.0,10.0,1
66134,3G,94.0,101.0,421.0,19.0,72.0,186.0,54.0,545.0,4.0,7.0,1
69969,3G,109.0,103.0,373.0,24.0,61.0,203.0,72.0,538.0,11.0,50.0,0
66324,4G,69.0,69.0,400.0,14.0,78.0,205.0,38.0,574.0,5.0,51.0,1
60797,3G,96.0,83.0,415.0,35.0,77.0,240.0,29.0,599.0,9.0,75.0,1
63889,4G,114.0,80.0,384.0,25.0,78.0,195.0,58.0,566.0,5.0,66.0,0
67708,3G,107.0,88.0,376.0,5.0,73.0,97.0,64.0,538.0,11.0,56.0,0
69967,4G,107.0,89.0,429.0,0.0,58.0,224.0,74.0,422.0,13.0,0.0,1
67309,4G,131.0,98.0,369.0,69.0,130.0,224.0,46.0,585.0,7.0,89.0,1
60658,2G,74.0,79.0,365.0,12.0,85.0,180.0,24.0,458.0,10.0,73.0,0
68387,4G,82.0,128.0,398.0,124.0,147.0,205.0,64.0,618.0,5.0,65.0,1
61832,4G,150.0,71.0,416.0,203.0,140.0,204.0,0.0,571.0,7.0,22.0,1
60340,3G,107.0,103.0,392.0,0.0,91.0,144.0,21.0,621.0,11.0,89.0,1
64118,3G,108.0,82.0,386.0,10.0,62.0,157.0,76.0,579.0,8.0,64.0,0
69099,3G,108.0,105.0,400.0,88.0,138.0,207.0,50.0,328.0,5.0,96.0,1
69089,4G,84.0,88.0,400.0,122.0,118.0,267.0,58.0,525.0,9.0,16.0,1
67823,4G,125.0,58.0,405.0,44.0,77.0,204.0,45.0,393.0,13.0,22.0,1
65421,4G,98.0,96.0,382.0,25.0,81.0,223.0,94.0,642.0,9.0,42.0,0
61513,4G,69.0,94.0,426.0,98.0,116.0,139.0,0.0,472.0,8.0,40.0,1
63989,3G,94.0,115.0,391.0,0.0,60.0,171.0,64.0,668.0,10.0,15.0,1
64056,3G,64.0,112.0,391.0,64.0,152.0,265.0,17.0,576.0,7.0,19.0,1
68870,4G,131.0,89.0,410.0,110.0,75.0,215.0,46.0,481.0,12.0,15.0,1
61558,4G,138.0,87.0,389.0,18.0,103.0,130.0,61.0,375.0,5.0,54.0,1
63070,3G,109.0,93.0,386.0,32.0,86.0,153.0,62.0,569.0,3.0,69.0,0
65205,3G,94.0,94.0,377.0,0.0,114.0,203.0,73.0,469.0,8.0,71.0,0
63650,2G,96.0,93.0,383.0,5.0,69.0,176.0,83.0,365.0,7.0,73.0,0
65950,3G,158.0,111.0,396.0,122.0,130.0,220.0,66.0,372.0,6.0,47.0,1
61071,3G,71.0,128.0,392.0,5.0,135.0,134.0,32.0,454.0,6.0,36.0,1
63671,4G,95.0,92.0,377.0,2.0,96.0,170.0,47.0,663.0,5.0,42.0,0
67776,2G,95.0,88.0,378.0,0.0,83.0,208.0,40.0,538.0,6.0,22.0,0
61373,4G,93.0,95.0,411.0,0.0,115.0,265.0,105.0,305.0,4.0,0.0,1
68112,4G,111.0,110.0,397.0,68.0,105.0,185.0,82.0,377.0,8.0,114.0,1
65878,4G,67.0,86.0,407.0,68.0,136.0,244.0,34.0,673.0,6.0,49.0,1
63718,3G,92.0,134.0,406.0,54.0,127.0,146.0,76.0,472.0,17.0,28.0,1
63607,4G,87.0,125.0,402.0,41.0,78.0,177.0,103.0,430.0,7.0,62.0,1
66538,3G,95.0,77.0,392.0,43.0,66.0,191.0,87.0,525.0,7.0,62.0,0
67642,3G,73.0,94.0,398.0,109.0,146.0,144.0,23.0,656.0,15.0,24.0,1
66053,3G,76.0,122.0,393.0,6.0,76.0,224.0,57.0,595.0,10.0,77.0,0
64829,2G,102.0,86.0,385.0,39.0,85.0,176.0,57.0,489.0,7.0,75.0,0
60812,4G,69.0,76.0,378.0,13.0,67.0,200.0,42.0,529.0,9.0,38.0,0
64188,4G,122.0,76.0,405.0,144.0,92.0,160.0,61.0,828.0,12.0,32.0,1
61374,2G,99.0,103.0,383.0,43.0,56.0,188.0,80.0,440.0,8.0,81.0,0
65980,3G,88.0,81.0,384.0,50.0,90.0,158.0,71.0,596.0,7.0,8.0,1
61804,3G,70.0,102.0,375.0,44.0,80.0,135.0,43.0,468.0,8.0,35.0,0
63631,4G,106.0,80.0,409.0,25.0,136.0,198.0,18.0,784.0,4.0,50.0,1
63355,2G,70.0,81.0,381.0,19.0,106.0,249.0,86.0,526.0,9.0,59.0,0
63285,2G,94.0,85.0,372.0,58.0,67.0,219.0,50.0,615.0,8.0,74.0,0
64690,3G,65.0,91.0,386.0,35.0,104.0,182.0,87.0,548.0,11.0,66.0,0
64933,3G,97.0,78.0,385.0,30.0,102.0,211.0,53.0,456.0,11.0,41.0,0
67996,3G,110.0,83.0,379.0,0.0,57.0,166.0,37.0,541.0,10.0,44.0,0
65999,3G,75.0,84.0,380.0,29.0,69.0,195.0,87.0,541.0,14.0,30.0,0
60732,4G,103.0,103.0,426.0,134.0,102.0,202.0,96.0,387.0,8.0,67.0,1
63955,3G,118.0,98.0,406.0,66.0,73.0,197.0,47.0,365.0,3.0,80.0,1
67014,2G,91.0,97.0,377.0,0.0,74.0,200.0,25.0,395.0,11.0,50.0,0
68958,4G,78.0,75.0,421.0,0.0,83.0,157.0,10.0,499.0,10.0,51.0,1
61933,4G,73.0,88.0,385.0,26.0,92.0,213.0,75.0,389.0,8.0,77.0,0
62531,4G,89.0,83.0,394.0,163.0,169.0,223.0,41.0,470.0,7.0,53.0,1
63503,4G,101.0,113.0,399.0,43.0,103.0,250.0,19.0,746.0,12.0,43.0,1
67956,4G,82.0,115.0,411.0,0.0,151.0,107.0,83.0,611.0,12.0,17.0,1
65487,4G,78.0,72.0,384.0,40.0,58.0,188.0,64.0,451.0,6.0,61.0,0
64556,3G,62.0,90.0,408.0,145.0,116.0,197.0,54.0,318.0,9.0,56.0,1
66884,3G,99.0,92.0,392.0,70.0,161.0,121.0,43.0,406.0,11.0,76.0,1
62459,3G,106.0,93.0,415.0,0.0,133.0,147.0,52.0,772.0,3.0,40.0,1
62840,3G,101.0,98.0,411.0,134.0,146.0,94.0,45.0,433.0,9.0,38.0,1
68443,2G,84.0,112.0,382.0,36.0,82.0,237.0,26.0,626.0,10.0,51.0,0
64488,3G,126.0,58.0,403.0,5.0,133.0,190.0,63.0,372.0,11.0,57.0,1
68858,4G,49.0,89.0,383.0,4.0,108.0,188.0,66.0,450.0,6.0,58.0,0
61722,4G,96.0,106.0,410.0,55.0,157.0,148.0,28.0,409.0,12.0,0.0,1
64082,2G,76.0,97.0,392.0,35.0,91.0,147.0,73.0,670.0,9.0,33.0,0
66741,3G,116.0,54.0,390.0,23.0,118.0,174.0,13.0,237.0,8.0,39.0,1
69404,3G,103.0,80.0,380.0,13.0,56.0,177.0,68.0,513.0,15.0,61.0,0
65083,3G,91.0,95.0,409.0,132.0,142.0,219.0,95.0,707.0,6.0,42.0,1
61270,4G,107.0,75.0,379.0,0.0,66.0,196.0,70.0,611.0,12.0,75.0,0
65347,4G,145.0,101.0,417.0,40.0,119.0,179.0,73.0,453.0,6.0,41.0,1
62442,3G,99.0,86.0,374.0,15.0,55.0,185.0,86.0,482.0,12.0,83.0,0
64284,2G,80.0,80.0,377.0,35.0,100.0,172.0,59.0,692.0,5.0,64.0,0
66817,4G,62.0,108.0,406.0,48.0,97.0,177.0,22.0,523.0,5.0,83.0,1
60645,4G,97.0,80.0,391.0,39.0,95.0,136.0,69.0,533.0,7.0,60.0,0
64588,3G,48.0,73.0,405.0,46.0,156.0,240.0,49.0,630.0,7.0,30.0,1
67436,4G,120.0,127.0,396.0,46.0,93.0,176.0,14.0,317.0,11.0,56.0,1
67705,4G,67.0,103.0,395.0,78.0,136.0,102.0,46.0,558.0,8.0,9.0,1
69774,4G,108.0,96.0,385.0,3.0,129.0,153.0,75.0,297.0,8.0,40.0,1
64350,4G,125.0,85.0,383.0,29.0,44.0,186.0,69.0,406.0,9.0,59.0,0
67194,2G,79.0,62.0,368.0,30.0,63.0,238.0,71.0,511.0,12.0,51.0,0
69056,2G,78.0,106.0,380.0,6.0,104.0,211.0,85.0,395.0,10.0,62.0,0
60990,4G,67.0,119.0,384.0,18.0,69.0,216.0,45.0,554.0,8.0,55.0,0
67094,4G,141.0,96.0,383.0,16.0,158.0,151.0,45.0,565.0,9.0,41.0,1
61989,3G,77.0,55.0,398.0,49.0,89.0,188.0,68.0,559.0,4.0,53.0,1
67469,2G,94.0,100.0,379.0,15.0,88.0,150.0,85.0,603.0,8.0,78.0,0
63683,4G,100.0,64.0,390.0,42.0,91.0,153.0,56.0,451.0,6.0,76.0,0
68011,3G,95.0,121.0,409.0,156.0,116.0,192.0,0.0,403.0,14.0,19.0,1
65226,4G,88.0,110.0,407.0,0.0,143.0,239.0,66.0,429.0,10.0,10.0,1
65716,4G,141.0,64.0,396.0,5.0,136.0,205.0,40.0,561.0,6.0,60.0,1
62110,4G,92.0,88.0,387.0,0.0,112.0,197.0,102.0,524.0,16.0,44.0,1
69663,4G,96.0,76.0,378.0,49.0,73.0,183.0,61.0,681.0,12.0,42.0,0
63029,4G,110.0,96.0,373.0,33.0,63.0,178.0,49.0,460.0,13.0,38.0,0
68082,4G,109.0,89.0,373.0,6.0,94.0,210.0,68.0,526.0,8.0,92.0,0
66906,4G,127.0,99.0,403.0,0.0,129.0,130.0,46.0,384.0,11.0,92.0,1
65704,3G,93.0,120.0,388.0,86.0,119.0,154.0,101.0,359.0,8.0,100.0,1
62800,3G,119.0,111.0,378.0,55.0,157.0,157.0,34.0,620.0,10.0,77.0,1
66151,3G,93.0,104.0,395.0,59.0,128.0,62.0,74.0,618.0,13.0,29.0,1
65208,2G,68.0,101.0,383.0,16.0,77.0,182.0,64.0,581.0,6.0,46.0,0
63941,4G,115.0,74.0,395.0,105.0,178.0,233.0,47.0,195.0,5.0,10.0,1
67119,3G,97.0,59.0,407.0,9.0,127.0,222.0,14.0,506.0,8.0,29.0,1
62624,3G,108.0,84.0,405.0,41.0,131.0,140.0,60.0,550.0,1.0,24.0,1
61516,4G,64.0,85.0,407.0,52.0,129.0,233.0,61.0,407.0,6.0,16.0,1
63777,2G,105.0,83.0,368.0,24.0,59.0,175.0,91.0,511.0,11.0,36.0,0
67473,3G,95.0,87.0,419.0,96.0,161.0,132.0,58.0,427.0,9.0,36.0,1
69286,3G,68.0,124.0,416.0,4.0,139.0,169.0,52.0,524.0,6.0,46.0,1
63625,2G,99.0,86.0,377.0,40.0,93.0,200.0,23.0,356.0,9.0,68.0,0
63736,2G,94.0,88.0,375.0,19.0,79.0,154.0,68.0,545.0,6.0,32.0,0
67380,3G,110.0,87.0,408.0,70.0,119.0,236.0,53.0,707.0,12.0,6.0,1
66682,2G,91.0,78.0,378.0,0.0,98.0,245.0,73.0,383.0,6.0,65.0,0
67367,2G,94.0,96.0,376.0,0.0,113.0,199.0,66.0,535.0,9.0,77.0,0
62175,4G,146.0,79.0,396.0,54.0,117.0,228.0,49.0,411.0,8.0,19.0,1
67725,4G,90.0,104.0,385.0,118.0,174.0,196.0,54.0,571.0,8.0,36.0,1
60169,3G,110.0,103.0,387.0,29.0,109.0,207.0,41.0,533.0,12.0,66.0,0
69874,3G,97.0,71.0,409.0,90.0,100.0,244.0,36.0,609.0,14.0,62.0,1
61122,3G,118.0,119.0,397.0,98.0,138.0,94.0,47.0,427.0,7.0,73.0,1
66924,2G,68.0,112.0,377.0,0.0,90.0,183.0,43.0,488.0,8.0,49.0,0
60347,3G,85.0,68.0,377.0,11.0,104.0,187.0,45.0,483.0,5.0,70.0,0
62055,2G,88.0,107.0,385.0,8.0,79.0,248.0,64.0,656.0,13.0,69.0,0
66162,4G,96.0,123.0,387.0,0.0,110.0,197.0,31.0,540.0,12.0,75.0,1
67543,4G,112.0,98.0,394.0,7.0,84.0,192.0,48.0,478.0,13.0,24.0,0
60305,3G,80.0,89.0,393.0,0.0,133.0,236.0,55.0,597.0,7.0,12.0,1
68161,4G,86.0,69.0,407.0,88.0,93.0,203.0,16.0,323.0,13.0,83.0,1
62811,4G,88.0,105.0,412.0,124.0,70.0,202.0,5.0,387.0,8.0,52.0,1
68230,4G,117.0,63.0,375.0,34.0,76.0,191.0,55.0,537.0,10.0,56.0,0
66742,4G,93.0,92.0,411.0,93.0,123.0,197.0,21.0,455.0,14.0,107.0,1
61342,3G,104.0,74.0,407.0,46.0,114.0,158.0,40.0,261.0,16.0,49.0,1
67573,3G,80.0,65.0,382.0,0.0,72.0,142.0,46.0,473.0,11.0,52.0,0
64545,3G,59.0,90.0,392.0,58.0,134.0,216.0,57.0,394.0,9.0,99.0,1
65913,4G,90.0,77.0,365.0,0.0,94.0,196.0,64.0,606.0,13.0,66.0,0
64341,4G,112.0,102.0,385.0,38.0,76.0,243.0,62.0,570.0,9.0,59.0,0
64067,3G,124.0,92.0,386.0,104.0,97.0,133.0,45.0,635.0,8.0,3.0,1
68713,4G,117.0,120.0,392.0,60.0,162.0,123.0,40.0,554.0,12.0,41.0,1
64870,3G,57.0,89.0,403.0,39.0,114.0,264.0,41.0,464.0,11.0,59.0,1
60176,3G,124.0,107.0,398.0,0.0,105.0,225.0,67.0,686.0,9.0,46.0,1
66057,4G,109.0,90.0,365.0,26.0,57.0,164.0,48.0,473.0,9.0,72.0,0
60240,4G,96.0,103.0,415.0,0.0,101.0,196.0,73.0,544.0,9.0,81.0,1
67880,4G,116.0,74.0,403.0,140.0,91.0,195.0,8.0,460.0,3.0,92.0,1
67285,4G,70.0,87.0,409.0,0.0,97.0,192.0,74.0,775.0,10.0,49.0,1
64225,3G,124.0,93.0,367.0,3.0,76.0,171.0,65.0,662.0,9.0,63.0,0
67580,3G,111.0,109.0,389.0,21.0,78.0,167.0,51.0,365.0,5.0,38.0,0
66989,4G,69.0,102.0,378.0,1.0,99.0,185.0,75.0,610.0,8.0,65.0,0
68456,3G,98.0,69.0,412.0,0.0,98.0,196.0,76.0,680.0,9.0,2.0,1
67744,4G,99.0,108.0,375.0,0.0,109.0,135.0,30.0,395.0,12.0,40.0,1
65322,3G,83.0,90.0,411.0,45.0,72.0,225.0,59.0,409.0,8.0,16.0,1
63719,4G,137.0,87.0,400.0,98.0,163.0,155.0,40.0,582.0,9.0,61.0,1
66293,4G,103.0,63.0,393.0,81.0,135.0,228.0,30.0,677.0,5.0,13.0,1
65678,3G,90.0,84.0,408.0,0.0,93.0,138.0,35.0,421.0,13.0,42.0,1
62217,3G,118.0,108.0,401.0,59.0,129.0,202.0,84.0,312.0,9.0,4.0,1
69148,3G,98.0,99.0,398.0,73.0,71.0,103.0,41.0,427.0,9.0,30.0,1
62165,4G,82.0,56.0,377.0,5.0,72.0,205.0,52.0,453.0,9.0,53.0,0
60349,2G,82.0,90.0,373.0,25.0,70.0,187.0,26.0,569.0,11.0,32.0,0
65644,2G,70.0,110.0,381.0,33.0,72.0,127.0,76.0,547.0,11.0,56.0,0
66791,4G,97.0,93.0,386.0,39.0,69.0,236.0,59.0,463.0,15.0,85.0,0
64770,2G,98.0,86.0,393.0,1.0,80.0,211.0,46.0,538.0,11.0,63.0,0
62046,3G,104.0,102.0,400.0,75.0,55.0,220.0,51.0,493.0,10.0,26.0,1
63068,4G,107.0,98.0,408.0,38.0,76.0,116.0,65.0,300.0,3.0,6.0,1
64980,3G,74.0,81.0,401.0,0.0,139.0,191.0,67.0,576.0,6.0,0.0,1
63736,4G,110.0,109.0,373.0,2.0,75.0,157.0,66.0,296.0,7.0,56.0,0
61366,2G,117.0,104.0,388.0,-0.0,102.0,184.0,35.0,593.0,11.0,56.0,0
62226,3G,95.0,75.0,381.0,20.0,66.0,202.0,66.0,569.0,7.0,71.0,0
60798,4G,79.0,122.0,417.0,0.0,97.0,210.0,57.0,318.0,8.0,57.0,1
65154,3G,109.0,131.0,400.0,203.0,173.0,193.0,52.0,457.0,13.0,80.0,1
61532,3G,88.0,105.0,399.0,24.0,99.0,198.0,81.0,502.0,7.0,47.0,0
64568,3G,99.0,119.0,385.0,19.0,142.0,203.0,84.0,562.0,5.0,8.0,1
63410,3G,90.0,102.0,382.0,36.0,68.0,191.0,70.0,585.0,8.0,77.0,0
60270,3G,91.0,58.0,401.0,70.0,108.0,170.0,40.0,529.0,16.0,33.0,1
67947,2G,87.0,101.0,379.0,37.0,72.0,179.0,42.0,434.0,9.0,62.0,0
62061,3G,83.0,78.0,385.0,23.0,83.0,151.0,46.0,539.0,5.0,30.0,0
64911,4G,67.0,118.0,396.0,0.0,121.0,181.0,25.0,481.0,3.0,42.0,1
63158,3G,94.0,79.0,384.0,40.0,106.0,232.0,64.0,516.0,9.0,45.0,0
64122,4G,59.0,83.0,385.0,18.0,88.0,184.0,92.0,421.0,7.0,62.0,0
67076,4G,101.0,97.0,399.0,81.0,88.0,172.0,71.0,610.0,8.0,106.0,1
68351,2G,109.0,69.0,368.0,12.0,108.0,183.0,28.0,454.0,9.0,49.0,0
68498,4G,89.0,75.0,374.0,10.0,45.0,199.0,45.0,637.0,8.0,85.0,0
67896,4G,103.0,132.0,406.0,98.0,117.0,159.0,2.0,417.0,10.0,73.0,1
67786,4G,100.0,125.0,382.0,53.0,74.0,173.0,0.0,553.0,14.0,53.0,1
62569,4G,62.0,102.0,405.0,83.0,102.0,152.0,39.0,446.0,2.0,24.0,1
64630,4G,79.0,66.0,391.0,10.0,79.0,130.0,67.0,526.0,7.0,39.0,0
61226,3G,124.0,138.0,401.0,119.0,123.0,165.0,82.0,399.0,11.0,56.0,1
69729,2G,93.0,71.0,384.0,35.0,96.0,208.0,68.0,463.0,10.0,59.0,0
63182,3G,89.0,65.0,393.0,93.0,86.0,214.0,4.0,570.0,5.0,61.0,1
67016,3G,92.0,62.0,378.0,0.0,83.0,205.0,82.0,402.0,10.0,53.0,0
68758,4G,117.0,120.0,416.0,21.0,164.0,213.0,73.0,352.0,8.0,14.0,1
64595,3G,109.0,78.0,390.0,24.0,76.0,168.0,36.0,582.0,7.0,69.0,0
66211,2G,120.0,100.0,372.0,18.0,92.0,205.0,70.0,568.0,11.0,74.0,0
63320,4G,62.0,67.0,377.0,0.0,127.0,217.0,8.0,441.0,11.0,89.0,1
66444,3G,104.0,41.0,396.0,58.0,126.0,185.0,53.0,491.0,10.0,24.0,1
66858,4G,78.0,129.0,385.0,120.0,123.0,194.0,32.0,504.0,12.0,29.0,1
68378,4G,54.0,78.0,387.0,24.0,99.0,223.0,67.0,505.0,12.0,76.0,0
63806,3G,73.0,103.0,379.0,30.0,111.0,204.0,53.0,598.0,12.0,56.0,0
62070,4G,108.0,91.0,403.0,0.0,123.0,274.0,62.0,593.0,4.0,96.0,1
67152,4G,127.0,77.0,385.0,47.0,82.0,154.0,95.0,454.0,8.0,46.0,1
65980,4G,108.0,94.0,376.0,13.0,104.0,220.0,46.0,499.0,7.0,58.0,0
65434,2G,79.0,92.0,376.0,26.0,71.0,145.0,63.0,576.0,15.0,40.0,0
67544,3G,95.0,129.0,417.0,126.0,157.0,73.0,69.0,505.0,5.0,57.0,1
61102,3G,91.0,92.0,377.0,2.0,43.0,216.0,84.0,490.0,12.0,85.0,0
69541,4G,82.0,65.0,410.0,5.0,129.0,160.0,50.0,329.0,5.0,67.0,1
66532,3G,109.0,80.0,389.0,24.0,82.0,184.0,51.0,599.0,8.0,59.0,0
63816,4G,67.0,77.0,404.0,20.0,101.0,170.0,52.0,674.0,10.0,98.0,1
68620,3G,81.0,98.0,369.0,37.0,87.0,127.0,66.0,570.0,5.0,53.0,0
61111,3G,107.0,92.0,378.0,120.0,109.0,183.0,51.0,442.0,5.0,18.0,1
68869,2G,83.0,76.0,372.0,31.0,72.0,187.0,53.0,333.0,14.0,76.0,0
66362,3G,102.0,121.0,418.0,15.0,154.0,164.0,21.0,535.0,6.0,71.0,1
66917,4G,84.0,115.0,376.0,0.0,76.0,193.0,73.0,529.0,12.0,69.0,0
69198,4G,122.0,128.0,410.0,32.0,107.0,109.0,103.0,507.0,11.0,54.0,1
63949,4G,70.0,117.0,384.0,26.0,79.0,181.0,65.0,471.0,8.0,73.0,0
69638,3G,98.0,85.0,411.0,0.0,69.0,153.0,60.0,560.0,7.0,79.0,1
67668,4G,71.0,77.0,389.0,44.0,80.0,202.0,71.0,413.0,9.0,71.0,0
68159,4G,116.0,79.0,407.0,104.0,125.0,185.0,89.0,601.0,7.0,0.0,1
65741,2G,77.0,63.0,383.0,38.0,51.0,163.0,92.0,535.0,10.0,67.0,0
60847,2G,104.0,102.0,381.0,12.0,106.0,221.0,24.0,464.0,10.0,49.0,0
63519,3G,82.0,63.0,366.0,79.0,167.0,185.0,84.0,498.0,10.0,79.0,1
60504,4G,69.0,82.0,385.0,26.0,75.0,134.0,80.0,477.0,14.0,56.0,0
67666,2G,98.0,83.0,395.0,43.0,63.0,168.0,45.0,504.0,5.0,65.0,0
68365,3G,107.0,105.0,384.0,20.0,91.0,168.0,41.0,416.0,13.0,58.0,0
62176,4G,88.0,120.0,385.0,111.0,119.0,198.0,89.0,403.0,9.0,86.0,1
65873,4G,68.0,100.0,403.0,0.0,151.0,205.0,5.0,716.0,5.0,7.0,1
61902,3G,109.0,64.0,376.0,17.0,94.0,206.0,78.0,578.0,7.0,69.0,0
66161,4G,70.0,99.0,414.0,0.0,120.0,174.0,93.0,478.0,6.0,82.0,1
68215,3G,116.0,83.0,410.0,119.0,150.0,219.0,32.0,418.0,13.0,2.0,1
61033,4G,79.0,130.0,372.0,0.0,131.0,130.0,63.0,410.0,9.0,84.0,1
62864,2G,80.0,114.0,382.0,0.0,60.0,176.0,74.0,474.0,9.0,80.0,0
69748,3G,101.0,113.0,398.0,128.0,137.0,133.0,80.0,566.0,5.0,20.0,1
65764,3G,54.0,107.0,386.0,0.0,118.0,193.0,11.0,513.0,8.0,27.0,1
60462,3G,91.0,95.0,362.0,21.0,61.0,192.0,28.0,542.0,9.0,56.0,0
61592,2G,74.0,79.0,379.0,0.0,81.0,243.0,57.0,542.0,12.0,59.0,0
67061,4G,134.0,100.0,387.0,69.0,125.0,175.0,42.0,610.0,4.0,78.0,1
67655,3G,121.0,87.0,384.0,0.0,115.0,209.0,62.0,727.0,12.0,20.0,1
66429,3G,97.0,105.0,402.0,100.0,105.0,206.0,4.0,240.0,11.0,71.0,1
64019,4G,93.0,94.0,395.0,54.0,125.0,167.0,0.0,614.0,12.0,37.0,1
60796,3G,126.0,92.0,385.0,10.0,148.0,212.0,75.0,579.0,8.0,74.0,1
64207,3G,90.0,87.0,405.0,44.0,153.0,178.0,5.0,412.0,4.0,49.0,1
66040,4G,113.0,117.0,411.0,0.0,128.0,208.0,93.0,397.0,13.0,36.0,1
69450,4G,104.0,106.0,407.0,131.0,135.0,166.0,18.0,409.0,12.0,92.0,1
61614,3G,95.0,90.0,377.0,13.0,85.0,187.0,65.0,395.0,8.0,43.0,0
66784,4G,56.0,109.0,404.0,0.0,149.0,220.0,30.0,716.0,6.0,76.0,1
63844,2G,83.0,73.0,393.0,21.0,101.0,134.0,38.0,441.0,5.0,51.0,0
67640,2G,70.0,76.0,376.0,2.0,83.0,160.0,38.0,608.0,11.0,73.0,0
62371,3G,129.0,104.0,397.0,94.0,96.0,130.0,59.0,615.0,13.0,74.0,1
61446,3G,117.0,119.0,398.0,102.0,129.0,174.0,117.0,550.0,10.0,64.0,1
66896,3G,106.0,118.0,417.0,0.0,108.0,139.0,24.0,459.0,4.0,14.0,1
65920,4G,93.0,89.0,394.0,4.0,69.0,166.0,35.0,470.0,6.0,76.0,0
61853,2G,100.0,69.0,390.0,17.0,95.0,151.0,74.0,554.0,7.0,30.0,0
66207,2G,105.0,94.0,375.0,0.0,85.0,186.0,60.0,592.0,9.0,52.0,0
68620,4G,93.0,106.0,382.0,0.0,97.0,209.0,38.0,487.0,11.0,41.0,0
64978,4G,110.0,106.0,382.0,26.0,100.0,220.0,22.0,465.0,13.0,83.0,1
64033,4G,114.0,101.0,382.0,0.0,81.0,189.0,50.0,511.0,9.0,79.0,0
